date,value1
41863,1396.44
41864,1384.31
41865,1380.3
41866,1392.45
41869,1428.74
41870,1436.4
41871,1427.4
41872,1447.88
41873,1461.72
41876,1443.81
41877,1411.15
41878,1420.54
41879,1403.8
41880,1424.47
41883,1452.84
41884,1465.03
41885,1477.67
41886,1495.51
41887,1489.84
41891,1494.02
41892,1504.91
41893,1513.01
41894,1524.12
41897,1526.14
41898,1473.13
41899,1479.12
41900,1490.79
41901,1499.12
41904,1483.35
41905,1500.99
41906,1517.42
41907,1508.42
41908,1511.36
41911,1526.18
41912,1540.87
41920,1557.57
41921,1561.17
41922,1554.22
41925,1548.33
41926,1539.12
41927,1545.62
41928,1526.56
41929,1511.05
41932,1532.38
41933,1517.48
41934,1504.55
41935,1477.84
41936,1477.59
41939,1492.01
41940,1522.05
41941,1530.08
41942,1525.77
41943,1513.27
41946,1529.89
41947,1516.4
41948,1512.49
41949,1532.52
41950,1522.63
41953,1514.82
41954,1461.51
41955,1475.75
41956,1442.86
41957,1441.21
41960,1471.69
41961,1481.86
41962,1505.55
41963,1494.59
41964,1504.83
41967,1507.81
41968,1541.92
41969,1554.22
41970,1563.41
41971,1570.85
41974,1552.31
41975,1565.42
41976,1604.45
41977,1621.85
41978,1581.91
41981,1567.16
41982,1504.62
41983,1572.69
41984,1587.67
41985,1623.57
41988,1657.5
41989,1649.58
41990,1644.21
41991,1634.05
41992,1596.81
41995,1517.93
41996,1496.53
41997,1519.8
41998,1529.47
41999,1536.08
42002,1499.4
42003,1460.11
42004,1471.76
42009,1464.77
42010,1539.83
42011,1523.39
42012,1541.89
42013,1553.24
42016,1586.12
42017,1601.17
42018,1588.01
42019,1586.34
42020,1639.56
42023,1630.07
42024,1700.85
42025,1722.58
42026,1744.04
42027,1697.29
42030,1739.79
42031,1743.68
42032,1731.41
42033,1711.37
42034,1680.58
42037,1696.83
42038,1750.91
42039,1757.74
42040,1774.31
42041,1730.97
42044,1708.85
42045,1747.68
42046,1772.85
42047,1788.81
42048,1825.49
42051,1896.63
42052,1894.31
42060,1876.75
42061,1880.39
42062,1928.04
42065,1986.99
42066,1961.74
42067,2009.83
42068,2014.79
42069,1951.4
42072,1994.39
42073,2045.32
42074,2035.83
42075,2018.13
42076,2069.07
42079,2142.67
42080,2137.46
42081,2182.92
42082,2183.88
42083,2213.77
42086,2293.65
42087,2357.97
42088,2385.01
42089,2291.79
42090,2323.82
42093,2290.48
42094,2335.17
42095,2404.91
42096,2475.33
42097,2510.16
42101,2556.7
42102,2488.16
42103,2496.49
42104,2552.83
42107,2577.78
42108,2558.85
42109,2441.74
42110,2484.33
42111,2463.99
42114,2424.85
42115,2566.09
42116,2634.93
42117,2706.19
42118,2734.75
42121,2747.5
42122,2687.97
42123,2797.52
42124,2857.89
42128,2845.25
42129,2783.44
42130,2846.56
42131,2806.05
42132,2973.6
42135,3146.83
42136,3250.3
42137,3192.15
42138,3141.59
42139,3145.34
42142,3278.48
42143,3322.77
42144,3406.28
42145,3527.41
42146,3516.63
42149,3467.92
42150,3618.23
42151,3628.67
42152,3432.98
42153,3542.84
42156,3718.75
42157,3901.54
42158,3982.25
42159,3943.47
42160,3885.83
42163,3704.55
42164,3705.54
42165,3834.7
42166,3862.14
42167,3899.71
42170,3696.03
42171,3590.67
42172,3741.36
42173,3504.55
42174,3314.98
42178,3393.94
42179,3383.4
42180,3206.38
42181,2920.7
42184,2689.76
42185,2858.61
42186,2759.41
42187,2649.32
42188,2605.28
42191,2493.83
42192,2352.01
42193,2364.05
42194,2435.76
42195,2535.89
42198,2683.07
42199,2726.05
42200,2590.03
42201,2627.08
42202,2783.32
42205,2848.3
42206,2882.9
42207,2897.37
42208,2967.95
42209,2897.82
42212,2683.45
42213,2581.96
42214,2693.87
42215,2561.19
42216,2539.84
42219,2399.27
42220,2546.16
42221,2502.04
42222,2480.93
42223,2576.99
42226,2706.72
42227,2698.91
42228,2622.19
42229,2684.26
42230,2674.02
42233,2666.29
42234,2504.17
42235,2570.69
42236,2508.82
42237,2341.95
42240,2152.61
42241,1990.71
42242,1890.04
42243,1959.49
42244,2082.12
42247,1996.87
42248,1889.49
42249,1855.03
42254,1893.52
42255,2001.16
42256,2071.72
42257,2039.12
42258,2060.51
42261,1906.21
42262,1797.56
42263,1926.25
42264,1933.3
42265,1983.3
42268,2079.06
42269,2078.72
42270,2077.99
42271,2106.59
42272,2020.97
42275,2122.26
42276,2098.57
42277,2082.67
42285,2190.31
42286,2216.66
42289,2316.78
42290,2342.04
42291,2305
42292,2404.53
42293,2449.03
42296,2433.6
42297,2511.16
42298,2344.74
42299,2458.14
42300,2538.38
42303,2527.48
42304,2563.96
42305,2485.24
42306,2485.28
42307,2478.28
42310,2432.04
42311,2429.27
42312,2584.32
42313,2564.72
42314,2661.41
42317,2724.62
42318,2746.61
42319,2804.68
42320,2783.3
42321,2710.16
42324,2797.16
42325,2717.05
42326,2661.17
42327,2770.75
42328,2800.15
42331,2770.58
42332,2816.05
42333,2897.57
42334,2833.2
42335,2649.55
42338,2672.58
42339,2655.35
42340,2613.26
42341,2708.12
42342,2692.16
42345,2738.15
42346,2691.66
42347,2667.91
42348,2695.51
42349,2671.29
42352,2709.27
42353,2745.7
42354,2763.11
42355,2835.7
42356,2830.26
42359,2829.92
42360,2839.85
42361,2783.94
42362,2795.78
42363,2794.73
42366,2735.49
42367,2749.82
42368,2779.51
42369,2714.05
42373,2491.24
42374,2416.73
42375,2468.37
42376,2256.52
42377,2248.99
42380,2106.36
42381,2147.53
42382,2059.78
42383,2175.01
42384,2112.9
42387,2174.93
42388,2241.7
42389,2204.65
42390,2112.4
42391,2149.59
42394,2158.82
42395,1994.05
42396,1997.47
42397,1906.46
42398,1994.07
42401,1992.7
42402,2075.29
42403,2090.51
42404,2126.64
42405,2096.99
42415,2116.84
42416,2201.93
42417,2215.34
42418,2190.91
42419,2211.01
42422,2245.56
42423,2218.12
42424,2203.74
42425,2037.14
42426,2014.92
42429,1880.15
42430,1934.92
42431,2017.6
42432,2007.08
42433,1907.04
42436,1953.33
42437,2002.19
42438,1970.81
42439,1936.97
42440,1934.87
42443,2023.13
42444,1996.92
42445,1977.54
42446,2087.29
42447,2177.87
42450,2227.03
42451,2221.7
42452,2259.11
42453,2219.77
42454,2216.09
42457,2199.69
42458,2152.55
42459,2248.78
42460,2238.29
42461,2205.37
42465,2279.52
42466,2297.04
42467,2248.68
42468,2229.93
42471,2283.14
42472,2264.02
42473,2294.02
42474,2324.39
42475,2309.68
42478,2265.59
42479,2272.52
42480,2145.24
42481,2110.16
42482,2136.92
42485,2126.83
42486,2155.7
42487,2146.61
42488,2155.23
42489,2138.74
42493,2217.23
42494,2211.02
42495,2224.1
42496,2129.19
42499,2053.6
42500,2054.22
42501,2034.93
42502,2034.57
42503,2025.22
42506,2057.86
42507,2081.44
42508,2020.48
42509,2037.4
42510,2065.3
42513,2098.23
42514,2075.51
42515,2067.25
42516,2086.01
42517,2069.89
42520,2058.52
42521,2159.8
42522,2168.82
42523,2188.56
42524,2204.97
42527,2199.3
42528,2196.73
42529,2186.55
42534,2054.71
42535,2058.31
42536,2128.8
42537,2101.42
42538,2122.89
42541,2119.63
42542,2092
42543,2144.82
42544,2137.49
42545,2127.37
42548,2191.81
42549,2216.71
42550,2209.79
42551,2227.79
42552,2211.18
42555,2248.71
42556,2246.03
42557,2241.56
42558,2233.92
42559,2239
42562,2218.59
42563,2247.36
42564,2285.37
42565,2293.08
42566,2263.78
42569,2249.87
42570,2273.72
42571,2268.54
42572,2265.13
42573,2250
42576,2245.89
42577,2279.55
42578,2155.39
42579,2139.74
42580,2122.41
42583,2099.18
42584,2113.21
42585,2108.31
42586,2129.65
42587,2109.06
42590,2130.59
42591,2154.51
42592,2137
42593,2103.4
42594,2123.84
42597,2193.21
42598,2201.1
42599,2208.2
42600,2201.59
42601,2204.56
42604,2167.4
42605,2174.16
42606,2192.17
42607,2180.66
42608,2189.75
42611,2193.2
42612,2195.53
42613,2191.76
42614,2181.33
42615,2170.86
42618,2182.69
42619,2222.84
42620,2212.05
42621,2223.47
42622,2202.97
42625,2145.56
42626,2145.87
42627,2144.56
42632,2165.21
42633,2158.43
42634,2162.13
42635,2168.42
42636,2156.51
42639,2122.9
42640,2140.8
42641,2139.63
42642,2146.18
42643,2149.9
42653,2208.47
42654,2210.86
42655,2209.69
42656,2208.57
42657,2194.23
42660,2167.86
42661,2198.14
42662,2184.91
42663,2193.26
42664,2181
42667,2200.8
42668,2200.21
42669,2184.49
42670,2182.48
42671,2165.43
42674,2159.76
42675,2176.45
42676,2146.4
42677,2153.18
42678,2145.23
42681,2130.3
42682,2150.3
42683,2123.84
42684,2143.32
42685,2147.11
42688,2161.69
42689,2179.3
42690,2182.47
42691,2163.04
42692,2157.96
42695,2152.6
42696,2177.65
42697,2165.71
42698,2146.63
42699,2167.53
42702,2166.05
42703,2160.35
42704,2183.05
42705,2181.93
42706,2143.45
42709,2143.88
42710,2122.26
42711,2134.99
42712,2114.71
42713,2099.89
42716,1984.39
42717,1985.04
42718,1963.08
42719,1975.85
42720,1998.11
42723,1980.41
42724,1982.3
42725,1991.7
42726,1986.27
